Main Category;Subcategory 1;Subcategory 2;Subcategory 3;Subcategory 4;Subcategory 5;Subcategory 6;Subcategory 7;Subcategory 8;Main ID;SUB1 ID;SUB2 ID;SUB3 ID;SUB4 ID;SUB5 ID;SUB6 ID;SUB7 ID;SUB8 ID;Main Slug;SUB1 Slug;SUB2 Slug;SUB3 Slug;SUB4 Slug;SUB5 Slug;SUB6 Slug;SUB7 Slug;SUB8 Slug
Appliances;;;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;; ;;;;;;;;;;;;;;;
Appliances;Dishwashers;;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;7f5a550d-b079-48fb-81f0-adfcdb219781; ;;;;;;;;;;;;;;;
Appliances;Dishwashers;Built-In Dishwashers;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;7f5a550d-b079-48fb-81f0-adfcdb219781;23f79c89-3056-48df-aac2-25075d8cd02b;;;;;;;;;appliances-dishwashers-built-in-dishwashers;;;;;;
Appliances;Dishwashers;Countertop Dishwashers;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;7f5a550d-b079-48fb-81f0-adfcdb219781;e45697bc-3c0f-4f8b-8aea-36438f8120e6;;;;;;;;;appliances-dishwashers-countertop-dishwashers;;;;;;
Appliances;Dishwashers;Portable Dishwashers;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;7f5a550d-b079-48fb-81f0-adfcdb219781;f5822f83-0af8-4ac7-8a55-b108959b57a0;;;;;;;;;appliances-dishwashers-portable-dishwashers;;;;;;
Appliances;Laundry Appliances;;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319; ;;;;;;;;;;;;;;;
Appliances;Laundry Appliances;Washers & Dryers;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;;;;;;
Appliances;Laundry Appliances;Washers & Dryers;Clothes Dryers;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;appliances-laundry-appliances-washers-dryers-Clothes Dryers;;;;;
Appliances;Laundry Appliances;Washers & Dryers;Clothes Washing Machines;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;appliances-laundry-appliances-washers-dryers-Clothes Washing Machines;;;;;
Appliances;Laundry Appliances;Washers & Dryers;Combination Washers & Dryers;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;appliances-laundry-appliances-washers-dryers-Combination Washers & Dryers;;;;;
Appliances;Laundry Appliances;Washers & Dryers;Portable Clothes Washing Machines;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;appliances-laundry-appliances-washers-dryers-Portable Clothes Washing Machines;;;;;
Appliances;Laundry Appliances;Washers & Dryers;Portable Dryers;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;appliances-laundry-appliances-washers-dryers-Portable Dryers;;;;;
Appliances;Laundry Appliances;Washers & Dryers;Stacked Washer & Dryer Units;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;fe331ee7-45fe-46a2-9635-40c8f6d24319;5f10c000-84d0-4ed6-a91d-f68262d5f92a;;;;;;;;;appliances-laundry-appliances-washers-dryers;appliances-laundry-appliances-washers-dryers-Stacked Washer & Dryer Units;;;;;
Appliances;Parts & Accessories;;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa; ;;;;;;;;;;;;;;;
Appliances;Parts & Accessories;Beverage Refrigerator Replacement Parts;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b3a917fc-11fc-46a8-b7c1-328a5757e7eb;;;;;;;;;appliances-parts-accessories-beverage-refrigerator-replacement-parts;;;;;;
Appliances;Parts & Accessories;Clothes Dryer Replacement Parts;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;ee73b359-4a95-4d26-b411-f3024ee2ea78;;;;;;;;;appliances-parts-accessories-clothes-dryer-replacement-parts;;;;;;
Appliances;Parts & Accessories;Clothes Dryer Replacement Parts;Clothes Dryer Replacement Vents;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;ee73b359-4a95-4d26-b411-f3024ee2ea78;;;;;;;;;appliances-parts-accessories-clothes-dryer-replacement-parts;appliances-parts-accessories-clothes-dryer-replacement-parts-Clothes Dryer Replacement Vents;;;;;
Appliances;Parts & Accessories;Clothes Dryer Replacement Parts;Dryer Replacement Parts;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;ee73b359-4a95-4d26-b411-f3024ee2ea78;;;;;;;;;appliances-parts-accessories-clothes-dryer-replacement-parts;appliances-parts-accessories-clothes-dryer-replacement-parts-Dryer Replacement Parts;;;;;
Appliances;Parts & Accessories;Cooktop Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;65232e63-9ec0-4d14-84a8-825b38402c6d;;;;;;;;;appliances-parts-accessories-cooktop-parts-accessories;;;;;;
Appliances;Parts & Accessories;Dishwasher Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b9c2e529-0db1-4ca0-9a1b-907a771446c3;;;;;;;;;appliances-parts-accessories-dishwasher-parts-accessories;;;;;;
Appliances;Parts & Accessories;Dishwasher Parts & Accessories;Dishwasher Replacement Hoses;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b9c2e529-0db1-4ca0-9a1b-907a771446c3;;;;;;;;;appliances-parts-accessories-dishwasher-parts-accessories;appliances-parts-accessories-dishwasher-parts-accessories-Dishwasher Replacement Hoses;;;;;
Appliances;Parts & Accessories;Freezer Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;3efc118d-26cf-4781-8a5a-3b9a73700441;;;;;;;;;appliances-parts-accessories-freezer-parts-accessories;;;;;;
Appliances;Parts & Accessories;Humidifier Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;d89f97ea-726f-4c8e-8d13-f8dc8824c0d9;;;;;;;;;appliances-parts-accessories-humidifier-parts-accessories;;;;;;
Appliances;Parts & Accessories;Humidifier Parts & Accessories;Humidifier Humidity Meters;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;d89f97ea-726f-4c8e-8d13-f8dc8824c0d9;;;;;;;;;appliances-parts-accessories-humidifier-parts-accessories;appliances-parts-accessories-humidifier-parts-accessories-Humidifier Humidity Meters;;;;;
Appliances;Parts & Accessories;Range Hood Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;914b5217-2cce-4464-b471-14b1e55508e4;;;;;;;;;appliances-parts-accessories-range-hood-parts-accessories;;;;;;
Appliances;Parts & Accessories;Range Hood Parts & Accessories;Range Hood Filters;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;914b5217-2cce-4464-b471-14b1e55508e4;;;;;;;;;appliances-parts-accessories-range-hood-parts-accessories;appliances-parts-accessories-range-hood-parts-accessories-Range Hood Filters;;;;;
Appliances;Parts & Accessories;Range Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;e0da6a11-365d-492f-a5bf-c3e77a11f9ff;;;;;;;;;appliances-parts-accessories-range-parts-accessories;;;;;;
Appliances;Parts & Accessories;Range Parts & Accessories;Range Accessories;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;e0da6a11-365d-492f-a5bf-c3e77a11f9ff;;;;;;;;;appliances-parts-accessories-range-parts-accessories;appliances-parts-accessories-range-parts-accessories-Range Accessories;;;;;
Appliances;Parts & Accessories;Range Parts & Accessories;Range Replacement Drip Pans;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;e0da6a11-365d-492f-a5bf-c3e77a11f9ff;;;;;;;;;appliances-parts-accessories-range-parts-accessories;appliances-parts-accessories-range-parts-accessories-Range Replacement Drip Pans;;;;;
Appliances;Parts & Accessories;Refrigerator Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b8241b21-8422-48b8-8f18-494d49b18d67;;;;;;;;;appliances-parts-accessories-refrigerator-parts-accessories;;;;;;
Appliances;Parts & Accessories;Refrigerator Parts & Accessories;In-Refrigerator Water Filters;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b8241b21-8422-48b8-8f18-494d49b18d67;;;;;;;;;appliances-parts-accessories-refrigerator-parts-accessories;appliances-parts-accessories-refrigerator-parts-accessories-In-Refrigerator Water Filters;;;;;
Appliances;Parts & Accessories;Refrigerator Parts & Accessories;Refrigerator Egg Trays;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b8241b21-8422-48b8-8f18-494d49b18d67;;;;;;;;;appliances-parts-accessories-refrigerator-parts-accessories;appliances-parts-accessories-refrigerator-parts-accessories-Refrigerator Egg Trays;;;;;
Appliances;Parts & Accessories;Refrigerator Parts & Accessories;Refrigerator Replacement Handles;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b8241b21-8422-48b8-8f18-494d49b18d67;;;;;;;;;appliances-parts-accessories-refrigerator-parts-accessories;appliances-parts-accessories-refrigerator-parts-accessories-Refrigerator Replacement Handles;;;;;
Appliances;Parts & Accessories;Refrigerator Parts & Accessories;Refrigerator Replacement Ice Makers;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b8241b21-8422-48b8-8f18-494d49b18d67;;;;;;;;;appliances-parts-accessories-refrigerator-parts-accessories;appliances-parts-accessories-refrigerator-parts-accessories-Refrigerator Replacement Ice Makers;;;;;
Appliances;Parts & Accessories;Refrigerator Parts & Accessories;Refrigerator Replacement Shelves;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;b8241b21-8422-48b8-8f18-494d49b18d67;;;;;;;;;appliances-parts-accessories-refrigerator-parts-accessories;appliances-parts-accessories-refrigerator-parts-accessories-Refrigerator Replacement Shelves;;;;;
Appliances;Parts & Accessories;Washer Parts & Accessories;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;497a5185-f07f-467c-923b-c9ed2bd7e6dd;;;;;;;;;appliances-parts-accessories-washer-parts-accessories;;;;;;
Appliances;Parts & Accessories;Washer Parts & Accessories;Clothes Washer Replacement Doors;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;497a5185-f07f-467c-923b-c9ed2bd7e6dd;;;;;;;;;appliances-parts-accessories-washer-parts-accessories;appliances-parts-accessories-washer-parts-accessories-Clothes Washer Replacement Doors;;;;;
Appliances;Parts & Accessories;Washer Parts & Accessories;Clothes Washer Replacement Drain Pumps;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;91968a26-ae12-48d0-ab6f-515f701b4afa;497a5185-f07f-467c-923b-c9ed2bd7e6dd;;;;;;;;;appliances-parts-accessories-washer-parts-accessories;appliances-parts-accessories-washer-parts-accessories-Clothes Washer Replacement Drain Pumps;;;;;
Appliances;Ranges, Ovens & Cooktops;;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;aa400989-50af-47e0-b072-bf3069925819; ;;;;;;;;;;;;;;;
Appliances;Ranges, Ovens & Cooktops;Cooktops;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;aa400989-50af-47e0-b072-bf3069925819;f91632ad-7a24-41a8-abf8-105078954f75;;;;;;;;;appliances-ranges-ovens-cooktops-cooktops;;;;;;
Appliances;Ranges, Ovens & Cooktops;Range Hoods;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;aa400989-50af-47e0-b072-bf3069925819;a01bfb33-f50a-479e-84e1-fd2fb70e66e0;;;;;;;;;appliances-ranges-ovens-cooktops-range-hoods;;;;;;
Appliances;Ranges, Ovens & Cooktops;Ranges;;;;;;;da34ee7d-1460-4d30-8bb5-33b637b3a561;aa400989-50af-47e0-b072-bf3069925819;4c5ffd44-8c10-48bc-b47b-59d2cbbf269d;;;;;;;;;appliances-ranges-ovens-cooktops-ranges;;;;;;
